Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
69,24306,Digital Signal Processing: A Review Journal,journal,"10954333, 10512004",0.491,-,79,195,1620,248,180,1.32,18.62,United States,Northern America,Elsevier Inc.,1991-2022,Electrical and Electronic Engineering (Q2); Signal Processing (Q2),2008
70,23737,Computational Intelligence,journal,"08247935, 14678640",0.49,Q2,53,68,387,110,65,1.62,35.18,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1985-2021,Artificial Intelligence (Q2); Computational Mathematics (Q3),2008
71,24822,Pattern Analysis and Applications,journal,"1433755X, 14337541",0.489,Q2,58,94,1204,148,94,1.7,38.84,United Kingdom,Western Europe,Springer London,1998-2021,Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2),2008
72,24449,Kybernetika,journal,"00235954, 1805949X",0.48,Q2,38,171,1148,87,164,0.43,17.66,Czech Republic,Eastern Europe,Academy of Sciences of the Czech Republic,"1972-1989, 1996-2021",Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2); Software (Q2); Theoretical Computer Science (Q3),2008
74,23678,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",journal,"08900604, 14691760",0.461,Q2,54,82,1071,118,70,1.29,39.67,United Kingdom,Western Europe,Cambridge University Press,1987-2021,Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2),2008
75,23673,Applied Artificial Intelligence,journal,"10876545, 08839514",0.458,Q2,59,118,1333,182,116,1.08,31.0,United Kingdom,Western Europe,Taylor and Francis Ltd.,1987-2021,Artificial Intelligence (Q2),2008
77,24141,Artificial Intelligence Review,journal,"02692821, 15737462",0.443,Q2,86,111,988,142,106,0.24,44.91,Netherlands,Western Europe,Springer Netherlands,1986-2021,Linguistics and Language (Q1); Artificial Intelligence (Q2),2008
78,23617,AI Communications,journal,09217126,0.431,Q2,40,80,560,95,77,1.19,20.74,Netherlands,Western Europe,IOS Press BV,1987-2021,Artificial Intelligence (Q2),2008
82,130113,Cognitive Processing,journal,"16124782, 16124790",0.412,Q2,46,130,1445,112,127,0.69,49.83,Germany,Western Europe,Springer Verlag,2005-2021,Artificial Intelligence (Q2); Medicine (miscellaneous) (Q2); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2008
84,13880,Artificial Intelligence and Law,journal,"09248463, 15728382",0.384,Q3,41,47,533,50,44,1.03,29.61,Netherlands,Western Europe,Springer Netherlands,"1992-1993, 1995-2021",Law (Q2); Artificial Intelligence (Q3),2008
86,25507,Informatica (Slovenia),journal,"18543871, 03505596",0.382,Q3,36,157,1112,183,148,1.14,25.27,Slovenia,Eastern Europe,Slovene Society Informatika,1995-2021,Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3); Theoretical Computer Science (Q3),2008
88,24310,International Journal of Pattern Recognition and Artificial Intelligence,journal,02180014,0.378,Q3,57,199,2246,200,191,0.8,24.96,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1995-2021,Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Software (Q3),2008
89,23917,Journal of Intelligent and Fuzzy Systems,journal,"18758967, 10641246",0.371,Q3,64,126,982,113,120,0.76,27.28,Netherlands,Western Europe,IOS Press BV,1993-2021,Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q4),2008
90,24357,Journal of Experimental and Theoretical Artificial Intelligence,journal,"13623079, 0952813X",0.367,Q3,45,67,765,60,64,0.7,34.77,United Kingdom,Western Europe,Taylor and Francis Ltd.,1989-2021,Artificial Intelligence (Q3); Software (Q3); Theoretical Computer Science (Q3),2008
91,23674,Applied Intelligence,journal,"0924669X, 15737497",0.366,Q3,72,125,1519,146,119,1.24,33.76,Netherlands,Western Europe,Springer Netherlands,1991-2021,Artificial Intelligence (Q3),2008
92,24806,Neural Processing Letters,journal,"13704621, 1573773X",0.366,Q3,58,111,873,126,111,1.13,24.25,Netherlands,Western Europe,Springer Netherlands,1994-2021,Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Neuroscience (miscellaneous) (Q3); Software (Q3),2008
93,24800,Neural Computing and Applications,journal,"09410643, 14333058",0.355,Q3,94,130,1335,149,127,1.07,21.89,United Kingdom,Western Europe,Springer London,1993-2021,Artificial Intelligence (Q3); Software (Q3),2008
94,144749,International Journal of Advanced Robotic Systems,journal,17298806,0.35,Q3,51,155,995,176,144,1.26,20.31,United States,Northern America,SAGE Publications Inc.,2004-2021,Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3),2008
97,21100411629,Web Intelligence,journal,"24056464, 24056456",0.323,Q3,24,65,1012,76,63,1.3,42.17,Netherlands,Western Europe,IOS Press BV,2015-2020,Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Software (Q3),2008
102,13427,Bulletin of the Polish Academy of Sciences: Technical Sciences,journal,"23001917, 02397528",0.305,Q3,44,140,1028,131,140,0.78,20.98,Poland,Eastern Europe,Polish Academy of Sciences,"1983-1988, 2004-2021","Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Atomic and Molecular Physics, and Optics (Q3); Computer Networks and Communications (Q3); Information Systems (Q3)",2008
103,24360,Journal of Intelligent and Robotic Systems: Theory and Applications,journal,"15730409, 09210296",0.301,Q3,82,197,2176,213,182,1.0,30.22,Netherlands,Western Europe,Springer Netherlands,1988-2021,Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Artificial Intelligence (Q3); Software (Q3),2008
104,12931,Cybernetics and Systems,journal,"10876553, 01969722",0.293,Q3,41,134,1100,89,130,0.58,24.44,United Kingdom,Western Europe,Taylor and Francis Ltd.,1980-2021,Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3),2008
107,4700152645,International Journal on Artificial Intelligence Tools,journal,02182130,0.282,Q3,33,172,1561,153,161,0.97,25.59,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2005-2021,Artificial Intelligence (Q3),2008
108,24185,Expert Systems,journal,"14680394, 02664720",0.28,Q3,41,72,1039,81,69,1.2,31.48,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1984-2021,Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4),2008
110,15435,Journal of Consciousness Studies,journal,"20512201, 13558250",0.27,Q3,67,252,3030,175,219,0.55,40.95,United Kingdom,Western Europe,Imprint Academic,1996-2021,"Philosophy (Q1); Artificial Intelligence (Q3); Psychology (miscellaneous) (Q3); Ecology, Evolution, Behavior and Systematics (Q4)",2008
113,19500157321,Frontiers in Artificial Intelligence and Applications,book series,"15356698, 09226389",0.266,Q3,54,470,11432,296,455,0.73,16.08,Netherlands,Western Europe,IOS Press BV,2004-2021,Artificial Intelligence (Q3),2008
115,79015,Kongzhi yu Juece/Control and Decision,journal,10010920,0.261,Q3,45,937,3866,552,937,0.53,13.19,China,Asiatic Region,Northeast University,1997-2021,Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Software (Q3); Control and Optimization (Q4),2008
119,24809,Journal of Memetics,journal,13664786,0.259,Q3,15,4,0,3,4,0.0,0.0,United Kingdom,Western Europe,Manchester Metropolitan University,1997-2005,"Anthropology (Q2); Philosophy (Q2); Artificial Intelligence (Q3); Ecology, Evolution, Behavior and Systematics (Q4)",2008
121,15552,Microprocessors and Microsystems,journal,01419331,0.256,Q3,41,138,1230,130,131,0.94,27.95,Netherlands,Western Europe,Elsevier,1978-2021,Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q3),2008
122,19700175219,Iranian Journal of Fuzzy Systems,journal,17350654,0.255,Q3,32,41,419,12,41,0.33,18.22,Iran,Middle East,University of Sistan and Baluchestan,2004-2021,Artificial Intelligence (Q3); Computer Science Applications (Q3); Information Systems and Management (Q3); Mathematics (miscellaneous) (Q3),2008
123,11300153726,Intelligent Data Analysis,journal,"1088467X, 15714128",0.254,Q3,48,115,1113,83,101,0.66,27.83,Netherlands,Western Europe,IOS Press BV,1997-2021,Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Theoretical Computer Science (Q4),2008
124,12237,Complexity International,journal,13200682,0.253,Q3,16,17,630,5,17,0.0,18.0,Australia,Pacific Region,Charles Sturt University,"1996-1998, 2000, 2002, 2004-2005, 2008",Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Software (Q3),2008
126,12358,International Journal of Fuzzy Systems,journal,"15622479, 21993211",0.252,Q3,47,83,771,39,80,0.31,20.84,Switzerland,Western Europe,Springer International Publishing AG,2004-2021,Artificial Intelligence (Q3); Software (Q3); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4),2008
128,15109,IEICE Transactions on Information and Systems,journal,"17451361, 09168532",0.248,Q3,50,985,6108,603,959,0.64,16.78,Japan,Asiatic Region,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",1993-2021,Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3); Software (Q3),2008
129,12409,Multidimensional Systems and Signal Processing,journal,"15730824, 09236082",0.248,Q3,41,63,602,35,52,0.51,21.5,Netherlands,Western Europe,Springer Netherlands,1990-2021,Artificial Intelligence (Q3); Computer Science Applications (Q3); Hardware and Architecture (Q3); Information Systems (Q3); Signal Processing (Q3); Software (Q3); Applied Mathematics (Q4),2008
130,28380,Natural Language Engineering,journal,"14698110, 13513249",0.248,Q3,57,55,831,129,54,2.37,36.13,United Kingdom,Western Europe,Cambridge University Press,1995-2021,Linguistics and Language (Q2); Artificial Intelligence (Q3); Software (Q3),2008
132,19700186852,Journal of Multimedia (discontinued),journal,17962048,0.242,Q3,26,91,695,84,91,0.92,20.44,Finland,Western Europe,Academy Publisher,2006-2013,Media Technology (Q1); Artificial Intelligence (Q3); Electrical and Electronic Engineering (Q3),2008
133,24802,Neural Network World,journal,"23364335, 12100552",0.242,Q3,27,132,690,70,126,0.47,18.65,Czech Republic,Eastern Europe,Czech Technical University in Prague,1994-2021,Artificial Intelligence (Q3); Hardware and Architecture (Q3); Software (Q3); Neuroscience (miscellaneous) (Q4),2008
134,24777,Minds and Machines,journal,"09246495, 15728641",0.237,Q3,44,68,1136,52,65,0.72,40.57,Netherlands,Western Europe,Springer Netherlands,1991-2021,Philosophy (Q2); Artificial Intelligence (Q3),2008
135,18197,Integrated Computer-Aided Engineering,journal,"10692509, 18758835",0.235,Q3,45,82,665,71,77,0.9,23.75,Netherlands,Western Europe,IOS Press BV,1993-2021,Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4),2008
142,144653,Artificial Life and Robotics,journal,14335298,0.219,Q3,21,113,1426,85,113,0.51,9.7,Japan,Asiatic Region,Springer Japan,2005-2021,"Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)",2008
143,19270,International Journal of Software Engineering and Knowledge Engineering,journal,02181940,0.219,Q4,36,160,1534,103,149,0.8,30.68,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1996-2021,Computer Graphics and Computer-Aided Design (Q3); Computer Networks and Communications (Q3); Software (Q3); Artificial Intelligence (Q4),2008
150,11200153531,Foundations of Artificial Intelligence,book series,15746526,0.205,Q4,21,51,2870,27,2,0.79,110.38,Netherlands,Western Europe,Elsevier,"2005-2006, 2008",Computer Science Applications (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4),2008
153,25482,International Journal of Robotics and Automation,journal,"19257090, 08268185",0.203,Q4,26,97,655,59,94,0.57,23.39,Canada,Northern America,ACTA Press,1995-2021,Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Modeling and Simulation (Q3); Artificial Intelligence (Q4); Software (Q4),2008
155,19700186872,International Journal of Cognitive Informatics and Natural Intelligence,journal,"15573958, 15573966",0.201,Q4,24,24,894,54,24,2.25,31.93,United States,Northern America,IGI Global Publishing,2007-2021,Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4),2008
160,12981,Kybernetes,journal,0368492X,0.191,Q4,43,444,2288,141,442,0.29,18.02,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,1972-2021,Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Engineering (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3); Artificial Intelligence (Q4); Information Systems (Q4); Software (Q4); Theoretical Computer Science (Q4),2008
162,21100211724,Intelligent Decision Technologies,journal,"18724981, 18758843",0.189,Q4,15,17,525,8,16,0.47,22.83,Netherlands,Western Europe,IOS Press BV,2007-2021,Computer Vision and Pattern Recognition (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4),2008
165,21100204931,Sistemi Intelligenti,journal,"11209550, 19738226",0.188,Q4,7,121,1018,9,117,0.09,24.24,Italy,Western Europe,Il Mulino publishing house,1997-2021,Linguistics and Language (Q2); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2008
169,24811,OGAI Journal (Oesterreichische Gesellschaft fuer Artificial Intelligence),journal,02544326,0.182,Q4,8,62,181,10,48,0.15,8.62,Austria,Western Europe,Austrian Society for Artificial Intelligency,"1987, 1989, 2001-2009",Artificial Intelligence (Q4); Software (Q4),2008
175,19700186824,Journal of Software (discontinued),journal,1796217X,0.174,Q4,32,65,1586,38,65,0.58,21.73,Finland,Western Europe,Academy Publisher,2006-2014,Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4),2008
176,4700152208,International Journal of Humanoid Robotics,journal,02198436,0.172,Q4,38,82,870,95,76,0.93,26.36,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2006-2021,Mechanical Engineering (Q3); Artificial Intelligence (Q4),2008
184,24258,Inteligencia Artificial,journal,11373601,0.164,Q4,13,120,538,17,114,0.12,19.93,Spain,Western Europe,Asociacion Espanola de Inteligencia Artificial,"2004-2010, 2012-2021",Artificial Intelligence (Q4); Software (Q4),2008
185,24805,"Neural, Parallel and Scientific Computations (discontinued)",journal,10615369,0.164,Q4,12,101,678,14,101,0.09,16.14,United States,Northern America,Dynamic Publishers,2004-2016,Applied Mathematics (Q4); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4); Theoretical Computer Science (Q4),2008
187,19900193685,International Journal of Knowledge-Based and Intelligent Engineering Systems,journal,"13272314, 18758827",0.163,Q4,20,102,826,43,101,0.33,26.65,Netherlands,Western Europe,IOS Press BV,2004-2021,Control and Systems Engineering (Q3); Artificial Intelligence (Q4); Software (Q4),2008
197,4900152703,Springer Tracts in Advanced Robotics,book series,"16107438, 1610742X",0.157,Q4,50,655,5207,150,591,0.22,18.02,Germany,Western Europe,Springer Verlag,2004-2021,Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4),2008
199,19700174602,Cognitive Technologies,book series,16112482,0.155,Q4,15,81,790,21,69,0.26,52.67,Germany,Western Europe,Springer Verlag,"2006-2015, 2017-2018, 2020-2021",Artificial Intelligence (Q4); Software (Q4),2008
201,18056,Jiqiren/Robot,journal,10020446,0.154,Q4,27,327,1181,96,327,0.26,12.84,China,Asiatic Region,Chinese Academy of Sciences,"1998, 2001-2021",Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4),2008
218,4900152708,Studies in Computational Intelligence,book series,"18609503, 1860949X",0.144,Q4,73,904,38068,258,878,0.29,29.83,Germany,Western Europe,Springer Verlag,2006-2022,Artificial Intelligence (Q4),2008
221,6700153285,International Journal of Mobile Network Design and Innovation,journal,"17442869, 17442850",0.143,Q4,11,60,0,24,58,0.37,0.0,United Kingdom,Western Europe,Inderscience Enterprises Ltd,"2006-2007, 2009-2020",Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Management Information Systems (Q4); Software (Q4),2008
